"Sex","Age","Population"
"Male","        18 and 19 years",2484647
"Male","        20 to 24 years",6441972
"Male","        25 to 29 years",6378227
"Male","        30 to 34 years",6692310
"Male","        35 to 44 years",12984013
"Male","        45 to 54 years",12410422
"Male","        55 to 64 years",14203580
"Male","        65 to 74 years",11927902
"Male","        75 to 84 years",6148068
"Male","        85 years and over",1764266
"Female","        18 and 19 years",2362606
"Female","        20 to 24 years",6143842
"Female","        25 to 29 years",6067643
"Female","        30 to 34 years",6460544
"Female","        35 to 44 years",12519762
"Female","        45 to 54 years",12023148
"Female","        55 to 64 years",14396840
"Female","        65 to 74 years",13011061
"Female","        75 to 84 years",7659533
"Female","        85 years and over",3086192
